NAICS CODE,NAICS DESCRIPTION,DATA TYPE,TOTAL,Employment Size of the Enterprise,,,,,,,,
1131,Timber tract operations,"Annual Payroll ($1,000)","158,214","1,889","16,880","22,206","15,346","56,321","35,500","6,492","98,313","59,901"
1131,Timber tract operations,"Receipts ($1,000)","1,112,163","24,049","201,641","152,818","95,088","473,596","188,002","29,485","691,083","421,080"
11311,Timber tract operations,Firms,633,108,318,112,41,579,33,6,618,15
11311,Timber tract operations,Establishments,680,108,318,113,42,581,35,8,624,56
11311,Timber tract operations,Employment,"4,203",0,652,729,528,"1,909","1,004",250,"3,163","1,040"
11311,Timber tract operations,"Annual Payroll ($1,000)","158,214","1,889","16,880","22,206","15,346","56,321","35,500","6,492","98,313","59,901"
11311,Timber tract operations,"Receipts ($1,000)","1,112,163","24,049","201,641","152,818","95,088","473,596","188,002","29,485","691,083","421,080"
113110,Timber tract operations,Firms,633,108,318,112,41,579,33,6,618,15
113110,Timber tract operations,Establishments,680,108,318,113,42,581,35,8,624,56
113110,Timber tract operations,Employment,"4,203",0,652,729,528,"1,909","1,004",250,"3,163","1,040"
113110,Timber tract operations,"Annual Payroll ($1,000)","158,214","1,889","16,880","22,206","15,346","56,321","35,500","6,492","98,313","59,901"
113110,Timber tract operations,"Receipts ($1,000)","1,112,163","24,049","201,641","152,818","95,088","473,596","188,002","29,485","691,083","421,080"
1132,Forest nurseries & gathering forest products,Firms,286,57,128,47,23,255,20,5,280,6
1132,Forest nurseries & gathering forest products,Establishments,352,57,128,47,23,255,21,5,281,71
1132,Forest nurseries & gathering forest products,Employment,"2,657",0,243,306,303,852,822,320,"1,994",663
1132,Forest nurseries & gathering forest products,"Annual Payroll ($1,000)","75,806","1,985","4,902","7,604","7,249","21,740","14,218","5,880","41,838","33,968"
1132,Forest nurseries & gathering forest products,"Receipts ($1,000)","313,498","14,411","33,458","31,717","28,815","108,401","43,699","20,925","173,025","140,473"
11321,Forest nurseries & gathering forest products,Firms,286,57,128,47,23,255,20,5,280,6
11321,Forest nurseries & gathering forest products,Establishments,352,57,128,47,23,255,21,5,281,71
11321,Forest nurseries & gathering forest products,Employment,"2,657",0,243,306,303,852,822,320,"1,994",663
11321,Forest nurseries & gathering forest products,"Annual Payroll ($1,000)","75,806","1,985","4,902","7,604","7,249","21,740","14,218","5,880","41,838","33,968"
11321,Forest nurseries & gathering forest products,"Receipts ($1,000)","313,498","14,411","33,458","31,717","28,815","108,401","43,699","20,925","173,025","140,473"
113210,Forest nurseries & gathering forest products,Firms,286,57,128,47,23,255,20,5,280,6
113210,Forest nurseries & gathering forest products,Establishments,352,57,128,47,23,255,21,5,281,71
113210,Forest nurseries & gathering forest products,Employment,"2,657",0,243,306,303,852,822,320,"1,994",663
113210,Forest nurseries & gathering forest products,"Annual Payroll ($1,000)","75,806","1,985","4,902","7,604","7,249","21,740","14,218","5,880","41,838","33,968"
113210,Forest nurseries & gathering forest products,"Receipts ($1,000)","313,498","14,411","33,458","31,717","28,815","108,401","43,699","20,925","173,025","140,473"
1133,Logging,Firms,"11,397","1,462","5,534","2,473","1,318","10,787",557,24,"11,368",29
1133,Logging,Establishments,"11,477","1,462","5,535","2,476","1,319","10,792",574,25,"11,391",86
1133,Logging,Employment,"68,962",0,"12,034","16,284","17,315","45,633","17,019","1,908","64,560","4,402"
1133,Logging,"Annual Payroll ($1,000)","1,973,028","40,070","272,753","389,633","457,947","1,160,403","504,357","71,952","1,736,712","236,316"
1133,Logging,"Receipts ($1,000)","9,809,676","328,186","1,813,654","1,906,342","1,951,169","5,999,351","2,263,968","351,065","8,614,384","1,195,292"
11331,Logging,Firms,"11,397","1,462","5,534","2,473","1,318","10,787",557,24,"11,368",29
11331,Logging,Establishments,"11,477","1,462","5,535","2,476","1,319","10,792",574,25,"11,391",86
11331,Logging,Employment,"68,962",0,"12,034","16,284","17,315","45,633","17,019","1,908","64,560","4,402"
11331,Logging,"Annual Payroll ($1,000)","1,973,028","40,070","272,753","389,633","457,947","1,160,403","504,357","71,952","1,736,712","236,316"
11331,Logging,"Receipts ($1,000)","9,809,676","328,186","1,813,654","1,906,342","1,951,169","5,999,351","2,263,968","351,065","8,614,384","1,195,292"
113310,Logging,Firms,"11,397","1,462","5,534","2,473","1,318","10,787",557,24,"11,368",29
113310,Logging,Establishments,"11,477","1,462","5,535","2,476","1,319","10,792",574,25,"11,391",86
113310,Logging,Employment,"68,962",0,"12,034","16,284","17,315","45,633","17,019","1,908","64,560","4,402"
113310,Logging,"Annual Payroll ($1,000)","1,973,028","40,070","272,753","389,633","457,947","1,160,403","504,357","71,952","1,736,712","236,316"
113310,Logging,"Receipts ($1,000)","9,809,676","328,186","1,813,654","1,906,342","1,951,169","5,999,351","2,263,968","351,065","8,614,384","1,195,292"
114,"Fishing, hunting, & trapping",Firms,"2,368",832,"1,212",145,101,"2,290",55,15,"2,360",8
114,"Fishing, hunting, & trapping",Establishments,"2,385",832,"1,212",145,101,"2,290",58,22,"2,370",15
114,"Fishing, hunting, & trapping",Employment,"9,244",0,"1,963",947,"1,356","4,266","1,837",[g],[i],[g]
114,"Fishing, hunting, & trapping","Annual Payroll ($1,000)","335,427","21,797","52,654","21,052","38,038","133,541","60,531",(D),(D),(D)
114,"Fishing, hunting, & trapping","Receipts ($1,000)","1,974,301","199,752","381,863","109,727","186,430","877,772","345,942",(D),(D),(D)
1141,Fishing,Firms,"1,901",696,986,93,66,"1,841",41,12,"1,894",7
1141,Fishing,Establishments,"1,916",696,986,93,66,"1,841",44,18,"1,903",13
1141,Fishing,Employment,"6,537",0,"1,549",583,885,"3,017","1,413","1,304","5,734",803
1141,Fishing,"Annual Payroll ($1,000)","252,635","19,746","44,281","14,912","29,855","108,794","49,720","50,091","208,605","44,030"
1141,Fishing,"Receipts ($1,000)","1,654,956","184,589","343,491","88,230","161,452","777,762","308,798","326,898","1,413,458","241,498"
11411,Fishing,Firms,"1,901",696,986,93,66,"1,841",41,12,"1,894",7
11411,Fishing,Establishments,"1,916",696,986,93,66,"1,841",44,18,"1,903",13
11411,Fishing,Employment,"6,537",0,"1,549",583,885,"3,017","1,413","1,304","5,734",803
11411,Fishing,"Annual Payroll ($1,000)","252,635","19,746","44,281","14,912","29,855","108,794","49,720","50,091","208,605","44,030"
11411,Fishing,"Receipts ($1,000)","1,654,956","184,589","343,491","88,230","161,452","777,762","308,798","326,898","1,413,458","241,498"
114111,Finfish fishing,Firms,"1,100",397,580,43,38,"1,058",26,9,"1,093",7
114111,Finfish fishing,Establishments,"1,113",397,580,43,38,"1,058",27,15,"1,100",13
114111,Finfish fishing,Employment,"4,301",0,912,278,507,"1,697",874,927,"3,498",803
114111,Finfish fishing,"Annual Payroll ($1,000)","190,657","13,016","27,094","7,443","19,590","67,143","35,325","44,159","146,627","44,030"
114111,Finfish fishing,"Receipts ($1,000)","1,239,527","115,906","217,322","37,708","115,367","486,303","224,636","287,090","998,029","241,498"
114112,Shellfish fishing,Firms,791,297,401,50,26,774,14,3,791,0
114112,Shellfish fishing,Establishments,793,297,401,50,26,774,16,3,793,0
114112,Shellfish fishing,Employment,"2,195",[a],[f],305,[e],[g],[f],377,"2,195",0
114112,Shellfish fishing,"Annual Payroll ($1,000)","60,944",(D),(D),"7,469",(D),(D),(D),"5,932","60,944",0
114112,Shellfish fishing,"Receipts ($1,000)","408,975",(D),(D),"50,522",(D),(D),(D),"39,808","408,975",0
114119,Other marine fishing,Firms,10,2,5,0,2,9,1,0,10,0
114119,Other marine fishing,Establishments,10,2,5,0,2,9,1,0,10,0
114119,Other marine fishing,Employment,41,[a],[a],0,[b],[b],[a],0,41,0
114119,Other marine fishing,"Annual Payroll ($1,000)","1,034",(D),(D),0,(D),(D),(D),0,"1,034",0
114119,Other marine fishing,"Receipts ($1,000)","6,454",(D),(D),0,(D),(D),(D),0,"6,454",0
1142,Hunting & trapping,Firms,469,136,226,52,35,449,14,4,467,2
1142,Hunting & trapping,Establishments,469,136,226,52,35,449,14,4,467,2
1142,Hunting & trapping,Employment,"2,707",0,414,364,471,"1,249",424,[e],[g],[f]
1142,Hunting & trapping,"Annual Payroll ($1,000)","82,792","2,051","8,373","6,140","8,183","24,747","10,811",(D),(D),(D)
1142,Hunting & trapping,"Receipts ($1,000)","319,345","15,163","38,372","21,497","24,978","100,010","37,144",(D),(D),(D)
11421,Hunting & trapping,Firms,469,136,226,52,35,449,14,4,467,2
11421,Hunting & trapping,Establishments,469,136,226,52,35,449,14,4,467,2
11421,Hunting & trapping,Employment,"2,707",0,414,364,471,"1,249",424,[e],[g],[f]
11421,Hunting & trapping,"Annual Payroll ($1,000)","82,792","2,051","8,373","6,140","8,183","24,747","10,811",(D),(D),(D)
11421,Hunting & trapping,"Receipts ($1,000)","319,345","15,163","38,372","21,497","24,978","100,010","37,144",(D),(D),(D)
114210,Hunting & trapping,Firms,469,136,226,52,35,449,14,4,467,2
114210,Hunting & trapping,Establishments,469,136,226,52,35,449,14,4,467,2
114210,Hunting & trapping,Employment,"2,707",0,414,364,471,"1,249",424,[e],[g],[f]
114210,Hunting & trapping,"Annual Payroll ($1,000)","82,792","2,051","8,373","6,140","8,183","24,747","10,811",(D),(D),(D)
114210,Hunting & trapping,"Receipts ($1,000)","319,345","15,163","38,372","21,497","24,978","100,010","37,144",(D),(D),(D)
115,Agriculture & forestry support activities,Firms,"11,165","1,924","5,829","1,629",856,"10,238",716,158,"11,112",53
115,Agriculture & forestry support activities,Establishments,"11,658","1,924","5,833","1,631",877,"10,265",805,316,"11,386",272
115,Agriculture & forestry support activities,Employment,"96,096",0,"11,598","10,547","11,368","33,513","27,491","21,098","82,102","13,994"
115,Agriculture & forestry support activities,"Annual Payroll ($1,000)","2,435,816","59,206","270,540","264,500","297,739","891,985","662,427","504,583","2,058,995","376,821"
115,Agriculture & forestry support activities,"Receipts ($1,000)","12,663,500","395,363","1,821,006","1,325,989","1,335,622","4,877,980","3,022,425","2,545,340","10,445,745","2,217,755"
1151,Crop production support activities,Firms,"4,946",889,"2,268",789,432,"4,378",417,115,"4,910",36
1151,Crop production support activities,Establishments,"5,324",889,"2,271",790,451,"4,401",471,224,"5,096",228
1151,Crop production support activities,Employment,"58,541",0,"4,642","5,138","5,771","15,551","16,597","15,661","47,809","10,732"
1151,Crop production support activities,"Annual Payroll ($1,000)","1,514,936","30,578","136,440","153,692","165,352","486,062","414,757","346,270","1,247,089","267,847"
1151,Crop production support activities,"Receipts ($1,000)","8,681,380","230,054","1,004,433","890,540","865,945","2,990,972","2,022,811","1,877,691","6,891,474","1,789,906"
11511,Crop production support activities,Firms,"4,946",889,"2,268",789,432,"4,378",417,115,"4,910",36
11511,Crop production support activities,Establishments,"5,324",889,"2,271",790,451,"4,401",471,224,"5,096",228
11511,Crop production support activities,Employment,"58,541",0,"4,642","5,138","5,771","15,551","16,597","15,661","47,809","10,732"
11511,Crop production support activities,"Annual Payroll ($1,000)","1,514,936","30,578","136,440","153,692","165,352","486,062","414,757","346,270","1,247,089","267,847"
11511,Crop production support activities,"Receipts ($1,000)","8,681,380","230,054","1,004,433","890,540","865,945","2,990,972","2,022,811","1,877,691","6,891,474","1,789,906"
115111,Cotton ginning,Firms,283,21,86,67,53,227,49,4,280,3
115111,Cotton ginning,Establishments,356,21,86,67,54,228,55,66,349,7
115111,Cotton ginning,Employment,"3,226",0,198,464,727,"1,389","1,480",296,"3,165",61
115111,Cotton ginning,"Annual Payroll ($1,000)","90,151","1,409","8,715","16,446","21,215","47,785","34,790","6,454","89,029","1,122"
115111,Cotton ginning,"Receipts ($1,000)","629,607","12,697","77,660","117,453","130,257","338,067","237,294","46,410","621,771","7,836"
115112,"Soil preparation, planting, & cultivating",Firms,"2,359",470,"1,246",377,157,"2,250",93,12,"2,355",4
115112,"Soil preparation, planting, & cultivating",Establishments,"2,425",470,"1,246",378,157,"2,251",97,12,"2,360",65
115112,"Soil preparation, planting, & cultivating",Employment,"11,962",0,"2,567","2,420","2,056","7,043","3,081",[g],[j],[f]
115112,"Soil preparation, planting, & cultivating","Annual Payroll ($1,000)","373,344","11,973","71,328","71,103","57,219","211,623","88,096",(D),(D),(D)
115112,"Soil preparation, planting, & cultivating","Receipts ($1,000)","1,949,032","93,853","517,591","364,965","266,219","1,242,628","339,040",(D),(D),(D)
115113,"Crop harvesting, primarily by machine",Firms,347,80,163,47,24,314,22,7,343,4
115113,"Crop harvesting, primarily by machine",Establishments,348,80,163,47,24,314,22,8,344,4
115113,"Crop harvesting, primarily by machine",Employment,"3,677",0,339,307,327,973,868,353,"2,194","1,483"
115113,"Crop harvesting, primarily by machine","Annual Payroll ($1,000)","65,132","1,943","8,146","8,527","8,908","27,524","16,906","7,145","51,575","13,557"
115113,"Crop harvesting, primarily by machine","Receipts ($1,000)","385,464","14,677","72,585","49,689","49,527","186,478","99,377","33,852","319,707","65,757"
115114,Postharvest crop activities (exc. ginning),Firms,925,105,273,160,104,642,184,73,899,26
115114,Postharvest crop activities (exc. ginning),Establishments,"1,124",105,273,160,122,660,224,97,981,143
115114,Postharvest crop activities (exc. ginning),Employment,"28,341",0,577,"1,057","1,373","3,007","8,308","9,599","20,914","7,427"
115114,Postharvest crop activities (exc. ginning),"Annual Payroll ($1,000)","749,906","6,179","19,725","35,385","42,613","103,902","212,175","213,427","529,504","220,402"
115114,Postharvest crop activities (exc. ginning),"Receipts ($1,000)","4,835,640","54,165","149,520","238,577","299,149","741,411","1,196,150","1,328,551","3,266,112","1,569,528"
115115,Farm labor contractors & crew leaders,Firms,470,135,163,74,41,413,37,17,467,3
115115,Farm labor contractors & crew leaders,Establishments,473,135,163,74,41,413,37,17,467,6
115115,Farm labor contractors & crew leaders,Employment,"6,826",0,319,471,561,"1,351","1,631","2,724","5,706","1,120"
115115,Farm labor contractors & crew leaders,"Annual Payroll ($1,000)","112,316","7,123","10,986","9,991","14,926","43,026","25,842","36,611","105,479","6,837"
115115,Farm labor contractors & crew leaders,"Receipts ($1,000)","453,570","40,451","112,426","61,479","49,172","263,528","57,947","107,417","428,892","24,678"
115116,Farm management services,Firms,582,78,338,64,53,533,35,11,579,3
115116,Farm management services,Establishments,598,78,340,64,53,535,36,24,595,3
115116,Farm management services,Employment,"4,509",0,642,419,727,"1,788","1,229",[g],[h],[b]
115116,Farm management services,"Annual Payroll ($1,000)","124,087","1,951","17,540","12,240","20,471","52,202","36,948",(D),(D),(D)
115116,Farm management services,"Receipts ($1,000)","428,067","14,211","74,651","58,377","71,621","218,860","93,003",(D),(D),(D)
1152,Animal production support activities,Firms,"4,478",649,"2,708",624,286,"4,267",180,23,"4,470",8
1152,Animal production support activities,Establishments,"4,537",649,"2,709",625,288,"4,271",183,65,"4,519",18
1152,Animal production support activities,Employment,"22,876",0,"5,287","3,997","3,772","13,056","5,810","3,034","21,900",976
1152,Animal production support activities,"Annual Payroll ($1,000)","495,963","13,341","89,013","69,620","76,309","248,283","112,809","100,193","461,285","34,678"
1152,Animal production support activities,"Receipts ($1,000)","2,558,100","92,369","580,902","289,628","300,674","1,263,573","629,935","485,730","2,379,238","178,862"
11521,Animal production support activities,Firms,"4,478",649,"2,708",624,286,"4,267",180,23,"4,470",8
11521,Animal production support activities,Establishments,"4,537",649,"2,709",625,288,"4,271",183,65,"4,519",18
11521,Animal production support activities,Employment,"22,876",0,"5,287","3,997","3,772","13,056","5,810","3,034","21,900",976
11521,Animal production support activities,"Annual Payroll ($1,000)","495,963","13,341","89,013","69,620","76,309","248,283","112,809","100,193","461,285","34,678"
11521,Animal production support activities,"Receipts ($1,000)","2,558,100","92,369","580,902","289,628","300,674","1,263,573","629,935","485,730","2,379,238","178,862"
115210,Animal production support activities,Firms,"4,478",649,"2,708",624,286,"4,267",180,23,"4,470",8
115210,Animal production support activities,Establishments,"4,537",649,"2,709",625,288,"4,271",183,65,"4,519",18
115210,Animal production support activities,Employment,"22,876",0,"5,287","3,997","3,772","13,056","5,810","3,034","21,900",976
115210,Animal production support activities,"Annual Payroll ($1,000)","495,963","13,341","89,013","69,620","76,309","248,283","112,809","100,193","461,285","34,678"
115210,Animal production support activities,"Receipts ($1,000)","2,558,100","92,369","580,902","289,628","300,674","1,263,573","629,935","485,730","2,379,238","178,862"
1153,Forestry support activities,Firms,"1,744",386,853,216,138,"1,593",120,20,"1,733",11
1153,Forestry support activities,Establishments,"1,797",386,853,216,138,"1,593",151,27,"1,771",26
1153,Forestry support activities,Employment,"14,679",0,"1,669","1,412","1,825","4,906","5,084","2,403","12,393","2,286"
1153,Forestry support activities,"Annual Payroll ($1,000)","424,917","15,287","45,087","41,188","56,078","157,640","134,861","58,120","350,621","74,296"
1153,Forestry support activities,"Receipts ($1,000)","1,424,020","72,940","235,671","145,821","169,003","623,435","369,679","181,919","1,175,033","248,987"
11531,Forestry support activities,Firms,"1,744",386,853,216,138,"1,593",120,20,"1,733",11
11531,Forestry support activities,Establishments,"1,797",386,853,216,138,"1,593",151,27,"1,771",26
11531,Forestry support activities,Employment,"14,679",0,"1,669","1,412","1,825","4,906","5,084","2,403","12,393","2,286"
11531,Forestry support activities,"Annual Payroll ($1,000)","424,917","15,287","45,087","41,188","56,078","157,640","134,861","58,120","350,621","74,296"
11531,Forestry support activities,"Receipts ($1,000)","1,424,020","72,940","235,671","145,821","169,003","623,435","369,679","181,919","1,175,033","248,987"
115310,Forestry support activities,Firms,"1,744",386,853,216,138,"1,593",120,20,"1,733",11
115310,Forestry support activities,Establishments,"1,797",386,853,216,138,"1,593",151,27,"1,771",26
115310,Forestry support activities,Employment,"14,679",0,"1,669","1,412","1,825","4,906","5,084","2,403","12,393","2,286"
115310,Forestry support activities,"Annual Payroll ($1,000)","424,917","15,287","45,087","41,188","56,078","157,640","134,861","58,120","350,621","74,296"
115310,Forestry support activities,"Receipts ($1,000)","1,424,020","72,940","235,671","145,821","169,003","623,435","369,679","181,919","1,175,033","248,987"
21,Mining,Firms,"18,475","1,905","8,691","2,825","2,168","15,589","2,093",472,"18,154",321
21,Mining,Establishments,"23,871","1,905","8,722","2,895","2,325","15,847","2,734","1,354","19,935","3,936"
21,Mining,Employment,"465,775",0,"17,764","18,654","28,971","65,389","76,861","62,045","204,295","261,480"
21,Mining,"Annual Payroll ($1,000)","23,961,694","118,519","599,532","680,717","1,125,226","2,523,994","3,290,541","3,094,101","8,908,636","15,053,058"
21,Mining,"Receipts ($1,000)","237,573,062","568,372","3,961,163","3,992,179","5,265,590","13,787,304","16,127,191","19,473,647","49,388,142","188,184,920"
211,Oil & gas extraction,Firms,"6,317",597,"3,816",906,462,"5,781",354,89,"6,224",93
211,Oil & gas extraction,Establishments,"7,629",597,"3,830",932,477,"5,836",456,292,"6,584","1,045"
211,Oil & gas extraction,Employment,"88,280",0,"7,466","5,890","5,980","19,336","12,113","11,656","43,105","45,175"
211,Oil & gas extraction,"Annual Payroll ($1,000)","6,406,475","28,794","254,065","258,981","290,795","832,635","762,724","807,342","2,402,701","4,003,774"
211,Oil & gas extraction,"Receipts ($1,000)","160,879,230","228,801","2,587,900","2,367,043","2,389,652","7,573,396","6,789,872","9,608,878","23,972,146","136,907,084"
2111,Oil & gas extraction,Firms,"6,317",597,"3,816",906,462,"5,781",354,89,"6,224",93
2111,Oil & gas extraction,Establishments,"7,629",597,"3,830",932,477,"5,836",456,292,"6,584","1,045"
2111,Oil & gas extraction,Employment,"88,280",0,"7,466","5,890","5,980","19,336","12,113","11,656","43,105","45,175"
2111,Oil & gas extraction,"Annual Payroll ($1,000)","6,406,475","28,794","254,065","258,981","290,795","832,635","762,724","807,342","2,402,701","4,003,774"
2111,Oil & gas extraction,"Receipts ($1,000)","160,879,230","228,801","2,587,900","2,367,043","2,389,652","7,573,396","6,789,872","9,608,878","23,972,146","136,907,084"
21111,Oil & gas extraction,Firms,"6,317",597,"3,816",906,462,"5,781",354,89,"6,224",93
21111,Oil & gas extraction,Establishments,"7,629",597,"3,830",932,477,"5,836",456,292,"6,584","1,045"
21111,Oil & gas extraction,Employment,"88,280",0,"7,466","5,890","5,980","19,336","12,113","11,656","43,105","45,175"
21111,Oil & gas extraction,"Annual Payroll ($1,000)","6,406,475","28,794","254,065","258,981","290,795","832,635","762,724","807,342","2,402,701","4,003,774"
21111,Oil & gas extraction,"Receipts ($1,000)","160,879,230","228,801","2,587,900","2,367,043","2,389,652","7,573,396","6,789,872","9,608,878","23,972,146","136,907,084"
211111,Crude petroleum & natural gas extraction,Firms,"6,238",591,"3,775",897,458,"5,721",348,85,"6,154",84
211111,Crude petroleum & natural gas extraction,Establishments,"7,135",591,"3,789",923,473,"5,776",449,254,"6,479",656
211111,Crude petroleum & natural gas extraction,Employment,"76,794",[a],[i],"5,825","5,926","19,138","11,882","11,154","42,174","34,620"
211111,Crude petroleum & natural gas extraction,"Annual Payroll ($1,000)","5,204,465",(D),(D),"255,954","286,757","820,303","750,332","779,553","2,350,188","2,854,277"
211111,Crude petroleum & natural gas extraction,"Receipts ($1,000)","88,388,300",(D),(D),"2,353,181","2,373,702","7,517,063","6,528,144","8,851,853","22,897,060","65,491,240"
211112,Natural gas liquid extraction,Firms,113,6,41,9,4,60,7,10,77,36
211112,Natural gas liquid extraction,Establishments,494,6,41,9,4,60,7,38,105,389
211112,Natural gas liquid extraction,Employment,"11,486",[a],[b],65,54,198,231,502,931,"10,555"
211112,Natural gas liquid extraction,"Annual Payroll ($1,000)","1,202,010",(D),(D),"3,027","4,038","12,332","12,392","27,789","52,513","1,149,497"
211112,Natural gas liquid extraction,"Receipts ($1,000)","72,490,930",(D),(D),"13,862","15,950","56,333","261,728","757,025","1,075,086","71,415,844"
212,Mining (except oil & gas),Firms,"4,669",477,"1,426",747,740,"3,390",846,248,"4,484",185
212,Mining (except oil & gas),Establishments,"7,205",477,"1,427",754,759,"3,417","1,078",671,"5,166","2,039"
212,Mining (except oil & gas),Employment,"194,174",0,"3,143","5,007","10,093","18,243","30,356","28,607","77,206","116,968"
212,Mining (except oil & gas),"Annual Payroll ($1,000)","9,122,022","40,188","124,871","167,127","390,439","722,625","1,233,777","1,326,554","3,282,956","5,839,066"
212,Mining (except oil & gas),"Receipts ($1,000)","47,733,102","169,844","537,625","681,269","1,486,537","2,875,275","5,380,741","6,423,493","14,679,509","33,053,593"
2121,Coal mining,Firms,802,58,160,97,130,445,246,67,758,44
2121,Coal mining,Establishments,"1,194",58,161,97,132,448,279,138,865,329
2121,Coal mining,Employment,"74,915",0,363,654,"1,784","2,801","10,205","11,576","24,582","50,333"
2121,Coal mining,"Annual Payroll ($1,000)","3,812,771","13,267","15,824","21,275","59,714","110,080","407,016","564,794","1,081,890","2,730,881"
2121,Coal mining,"Receipts ($1,000)","19,845,659","51,399","85,970","100,213","248,433","486,015","2,095,535","2,887,139","5,468,689","14,376,970"
21211,Coal mining,Firms,802,58,160,97,130,445,246,67,758,44
21211,Coal mining,Establishments,"1,194",58,161,97,132,448,279,138,865,329
21211,Coal mining,Employment,"74,915",0,363,654,"1,784","2,801","10,205","11,576","24,582","50,333"
21211,Coal mining,"Annual Payroll ($1,000)","3,812,771","13,267","15,824","21,275","59,714","110,080","407,016","564,794","1,081,890","2,730,881"
21211,Coal mining,"Receipts ($1,000)","19,845,659","51,399","85,970","100,213","248,433","486,015","2,095,535","2,887,139","5,468,689","14,376,970"
212111,Bituminous coal & lignite surface mining,Firms,430,23,93,53,51,220,128,43,391,39
212111,Bituminous coal & lignite surface mining,Establishments,630,23,93,53,53,222,149,78,449,181
212111,Bituminous coal & lignite surface mining,Employment,"32,924",[a],[c],359,686,"1,252","5,473","6,233","12,958","19,966"
212111,Bituminous coal & lignite surface mining,"Annual Payroll ($1,000)","1,720,242",(D),(D),"10,545","23,051","43,722","224,535","304,755","573,012","1,147,230"
212111,Bituminous coal & lignite surface mining,"Receipts ($1,000)","10,074,142",(D),(D),"56,836","90,751","200,714","1,346,559","1,575,827","3,123,100","6,951,042"
212112,Bituminous coal underground mining,Firms,357,32,46,31,69,178,115,34,327,30
212112,Bituminous coal underground mining,Establishments,499,32,46,31,69,178,117,56,351,148
212112,Bituminous coal underground mining,Employment,"41,209",0,[b],218,981,[g],"4,401",[i],"10,842","30,367"
212112,Bituminous coal underground mining,"Annual Payroll ($1,000)","2,064,659","10,869",(D),"8,405","32,876",(D),"169,607",(D),"481,008","1,583,651"
212112,Bituminous coal underground mining,"Receipts ($1,000)","9,633,243","40,407",(D),"31,025","135,307",(D),"692,499",(D),"2,207,315","7,425,928"
212113,Anthracite mining,Firms,57,3,22,13,10,48,7,2,57,0
212113,Anthracite mining,Establishments,65,3,22,13,10,48,13,4,65,0
212113,Anthracite mining,Employment,782,[a],[b],77,117,[e],331,[c],782,0
212113,Anthracite mining,"Annual Payroll ($1,000)","27,870",(D),(D),"2,325","3,787",(D),"12,874",(D),"27,870",0
212113,Anthracite mining,"Receipts ($1,000)","138,274",(D),(D),"12,352","22,375",(D),"56,477",(D),"138,274",0
2122,Metal ore mining,Firms,270,44,113,37,22,216,17,15,248,22
2122,Metal ore mining,Establishments,351,44,113,41,26,224,21,38,283,68
2122,Metal ore mining,Employment,"25,692",0,221,233,297,751,430,"3,472","4,653","21,039"
2122,Metal ore mining,"Annual Payroll ($1,000)","1,373,375","4,579","15,185","9,704","30,494","59,962","22,185","204,556","286,703","1,086,672"
